folder_or_package,files_retained,bytes_retained,status,decision,authority,target,phase,reason
01_TITAN_TRAIN_CANONICAL_CORE,357,3572919,retained/trimmed,port,Titan Train,app/Domains/TitanTrain,Pass 2,Canonical learning records and cleaner curriculum.
02_GUIDED_INTERACTION_RUNTIME,366,583868,retained/trimmed,integrate,Interaction Engine for guided session state,app/Runtime/InteractionEngine,Pass 4,"Guided lessons, assessments and resumable interactions; no direct learning-table writes."
03_LEARNER_PWA_AND_CHANNELS,1430,4760622,retained/trimmed,bridge,Titan Zero Chatbot PWA,app/Extensions/TitanZeroChatbot + PWA template bridge,Pass 3,Learner surface; server-authoritative LMS APIs.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro,47,328078,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-deep-research,18,169911,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-entity-highlight,16,61785,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-file-chat,9,7822,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-folders,12,69352,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-google-drive,12,54636,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-highlight-to-ask,12,16379,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-memory,12,29504,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills,23,195811,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/AI_System_Extensions/canvas,10,78387,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/ai-writer-templates,5,113641,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/content-manager,10,16073,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/focus-mode,7,4896,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/introductions,26,8149,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/model-council,12,162085,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
04_AI_AUTHORING_STUDIO/Base_App_System_Extensions/plagiarism,9,61951,retained/trimmed,adapt-extension,Titan Train publishing workflow,app/Extensions/TitanTrainAuthoring,Pass 5,Optional authoring capability; AI output remains draft.
05_MEDIA_AND_LEARNING_CONTENT/Additional_High_Value/ai-captions,27,111149,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/ai-presentation,28,195827,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/creative-suite,46,361967,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/creative-suite-annotations,17,143335,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/video-dubbing,25,137328,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
05_MEDIA_AND_LEARNING_CONTENT/Marketing_and_Creative_Extensions/video-editor,39,461259,retained/trimmed,adapt-extension,WorkCore Documents + Titan Train LearningMaterial,app/Extensions/TitanTrainMedia,Pass 8,Provider adapters only; no independent content authority.
06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore,287,2501509,retained/trimmed,extract-adapter,WorkCore Workforce,app/Domains/TitanTrain/Infrastructure/Adapters/Workforce,Pass 7,Consume workforce identity and onboarding events; never duplicate workers.
06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/OnboardingPro,33,51658,retained/trimmed,extract-adapter,WorkCore Workforce,app/Domains/TitanTrain/Infrastructure/Adapters/Workforce,Pass 7,Consume workforce identity and onboarding events; never duplicate workers.
06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Recruitment,126,674564,retained/trimmed,extract-adapter,WorkCore Workforce,app/Domains/TitanTrain/Infrastructure/Adapters/Workforce,Pass 7,Consume workforce identity and onboarding events; never duplicate workers.
06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/StaffCompliance,25,88795,retained/trimmed,extract-adapter,WorkCore Workforce,app/Domains/TitanTrain/Infrastructure/Adapters/Workforce,Pass 7,Consume workforce identity and onboarding events; never duplicate workers.
06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/Team,36,83116,retained/trimmed,extract-adapter,WorkCore Workforce,app/Domains/TitanTrain/Infrastructure/Adapters/Workforce,Pass 7,Consume workforce identity and onboarding events; never duplicate workers.
07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality,328,795624,retained/trimmed,extract-unique,WorkCore QualityControl,app/Domains/TitanTrain/Infrastructure/Adapters/Quality/Cleaning,Pass 7,Retain cleaning-specific rubrics only; reject duplicate inspection tables.
07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl,391,864377,retained/trimmed,extract-adapter,WorkCore QualityControl,app/Domains/TitanTrain/Infrastructure/Adapters/Quality,Pass 7,Canonical quality signals for refresher recommendations.
07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/compliance-auditing,160,1025505,retained/trimmed,quarantine,WorkCore Compliance + QualityControl,source-packs/quarantine,Pass 7,Overlapping inspection/audit tables and malformed historical copies require selective extraction.
08_DOCUMENTS_EVIDENCE_AND_KNOWLEDGE/Modules_for_Titan_BOS/Documents,134,266153,retained/trimmed,extract-adapter,WorkCore Documents,app/Domains/TitanTrain/Infrastructure/Adapters/Documents,Pass 6,Canonical document/evidence storage.
